datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_direct_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_MX-BC_avg,carbon_intensity_exchange_MX-BC_avg,power_net_import_US-CAL-BANC_avg,carbon_intensity_exchange_US-CAL-BANC_avg,power_net_import_US-CAL-IID_avg,carbon_intensity_exchange_US-CAL-IID_avg,power_net_import_US-CAL-LDWP_avg,carbon_intensity_exchange_US-CAL-LDWP_avg,power_net_import_US-CAL-TIDC_avg,carbon_intensity_exchange_US-CAL-TIDC_avg,power_net_import_US-NW-BPAT_avg,carbon_intensity_exchange_US-NW-BPAT_avg,power_net_import_US-NW-NEVP_avg,carbon_intensity_exchange_US-NW-NEVP_avg,power_net_import_US-NW-PACW_avg,carbon_intensity_exchange_US-NW-PACW_avg,power_net_import_US-SW-AZPS_avg,carbon_intensity_exchange_US-SW-AZPS_avg,power_net_import_US-SW-SRP_avg,carbon_intensity_exchange_US-SW-SRP_avg,power_net_import_US-SW-WALC_avg,carbon_intensity_exchange_US-SW-WALC_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_MX_avg,latest_forecasted_power_net_import_MX-BC_avg,latest_forecasted_power_net_import_US-CAL-BANC_avg,latest_forecasted_power_net_import_US-CAL-IID_avg,latest_forecasted_power_net_import_US-CAL-LDWP_avg,latest_forecasted_power_net_import_US-CAL-TIDC_avg,latest_forecasted_power_net_import_US-NW-BPAT_avg,latest_forecasted_power_net_import_US-NW-NEVP_avg,latest_forecasted_power_net_import_US-NW-PACW_avg,latest_forecasted_power_net_import_US-SW-AZPS_avg,latest_forecasted_power_net_import_US-SW-SRP_avg,latest_forecasted_power_net_import_US-SW-WALC_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2020-01-01T00:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:23:22.177313+00:00,1577836800.0,US-CAL-CISO,369.98,292.74,353.87,,390.71,11294.0,,,8779.0,0.0,20073.0,eia.gov,62.49,21.53,65.46,14.41,2273.0,,,12.0,225.0,1403.0,,7290.0,91.0,,3206.51,0.0,0.0,1207.43,667.35,1431.89,2223.25,10802.37,95.67,438.35,0.0,0.17,,,37.0,453.12,496.0,219.75,252.0,676.2,3364.0,477.06,23.0,508.12,1648.0,124.85,62.0,555.04,37.0,325.75,1073.0,607.77,1549.0,305.08,238.0,589.99,0.96,-2.67,379.46,281.51,275.07,0.0,,,24218.0,,,,,,,,,,,,,,
2020-01-01T01:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-12T00:23:20.739679+00:00,1577840400.0,US-CAL-CISO,403.58,320.71,419.69,,385.33,11698.0,,,10319.0,0.0,22017.0,eia.gov,68.8,16.23,78.68,1.9,2272.0,,,15.0,222.0,0.0,,9098.0,91.0,,3297.5,0.0,10.79,1440.95,764.51,3.55,2793.6,13190.09,96.4,419.43,0.0,0.19,,,64.0,453.12,708.0,189.35,217.0,684.71,3874.0,474.84,88.0,443.4,1926.0,121.78,83.0,554.52,39.0,339.59,1224.0,604.0,1796.0,320.43,300.0,591.44,0.94,-2.48,,280.05,274.63,,,,27321.0,,,,,,,,,,,,,,
2020-01-01T02:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:22.177313+00:00,1577844000.0,US-CAL-CISO,397.43,316.03,415.71,,378.18,11468.0,,,10891.0,0.0,22359.0,eia.gov,67.36,17.66,77.89,2.29,2273.0,,,14.0,263.0,0.0,,8827.0,91.0,,3348.39,0.0,18.77,1492.87,793.87,5.59,3130.95,13030.69,96.83,440.84,0.0,0.2,,,74.0,453.12,778.0,183.22,233.0,676.9,4005.0,463.14,110.0,430.93,2055.0,122.02,102.0,554.45,41.0,348.48,1305.0,603.42,1876.0,321.01,312.0,549.34,0.99,-2.43,,279.68,274.42,,,,27460.0,,,,,,,,,,,,,,
2020-01-01T03:00:00+00:00,2022-02-04T16:55:11.373028+00:00,2023-01-12T00:23:43.689021+00:00,1577847600.0,US-CAL-CISO,392.26,311.64,403.49,,380.87,10794.0,,,10641.0,0.0,21435.0,eia.gov,66.52,17.85,75.44,3.51,2272.0,,,12.0,379.0,0.0,,8040.0,91.0,,3350.98,0.0,18.65,1388.88,871.09,4.3,2930.85,12317.94,96.9,455.2,0.0,0.2,,,87.0,453.12,612.0,195.94,248.0,674.82,3910.0,460.59,94.0,412.52,2020.0,129.02,101.0,555.39,43.0,340.05,1349.0,588.1,1879.0,320.85,298.0,533.34,1.0,-2.34,10.3,279.64,274.44,0.0,,,26612.0,,,,,,,,,,,,,,
2020-01-01T04:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:43.689021+00:00,1577851200.0,US-CAL-CISO,395.92,314.45,399.14,,392.61,10504.0,,,10189.0,0.0,20693.0,eia.gov,67.65,16.2,75.09,3.28,2272.0,,,15.0,345.0,0.0,,7826.0,46.0,,3341.62,0.0,13.4,1321.63,871.48,2.2,2465.18,12156.05,52.01,469.23,0.0,0.2,,,149.0,453.12,460.0,216.84,273.0,678.23,3685.0,478.36,89.0,403.91,1885.0,135.95,101.0,556.59,43.0,345.38,1365.0,570.9,1870.0,318.42,269.0,546.84,1.01,-2.28,,279.52,274.37,,,,25628.0,,,,,,,,,,,,,,
2020-01-01T05:00:00+00:00,2022-02-04T16:49:58.101622+00:00,2023-01-12T00:15:13.178380+00:00,1577854800.0,US-CAL-CISO,401.11,319.94,403.44,,398.63,10361.0,,,9777.0,0.0,20138.0,eia.gov,67.65,15.78,75.4,2.67,2272.0,,,12.0,277.0,0.0,,7710.0,90.0,,3338.15,0.0,4.14,1391.84,835.77,2.72,2334.3,11634.39,96.86,499.44,0.0,0.39,,,76.0,453.12,519.0,220.74,290.0,684.07,3529.0,493.14,94.0,403.54,1891.0,144.46,98.0,558.96,44.0,330.73,1266.0,593.3,1736.0,313.33,234.0,573.81,1.05,-2.2,,279.4,274.31,,,,24682.0,,,,,,,,,,,,,,
2020-01-01T06:00:00+00:00,2022-02-04T16:49:58.102721+00:00,2023-01-12T00:15:13.178380+00:00,1577858400.0,US-CAL-CISO,408.74,328.84,404.51,,413.39,10342.0,,,9391.0,0.0,19733.0,eia.gov,67.7,15.22,75.6,2.4,2275.0,,,12.0,248.0,0.0,,7717.0,90.0,,3369.73,0.0,0.0,1597.0,997.56,2.75,2003.67,11140.16,98.76,523.37,0.0,0.0,,,124.0,453.12,470.0,239.4,295.0,688.66,3414.0,509.86,106.0,421.99,1835.0,159.87,111.0,563.84,39.0,374.26,1179.0,613.69,1596.0,312.08,222.0,598.08,1.06,-2.0,4.44,279.34,274.24,0.0,,,23542.0,,,,,,,,,,,,,,
2020-01-01T07:00:00+00:00,2022-02-04T16:49:58.284222+00:00,2023-01-12T00:23:22.177313+00:00,1577862000.0,US-CAL-CISO,410.18,329.4,403.86,,417.73,10886.0,,,9098.0,0.0,19984.0,eia.gov,68.54,14.75,76.03,3.07,2275.0,,,10.0,334.0,0.0,,8221.0,46.0,,3339.44,0.0,15.33,1564.11,1128.73,2.71,1800.28,11551.89,54.37,527.14,0.0,0.0,,,160.0,453.12,514.0,244.52,306.0,689.16,3045.0,534.76,65.0,458.63,1866.0,159.61,113.0,566.94,37.0,397.03,1193.0,616.58,1570.0,308.84,229.0,594.85,1.12,-1.98,,279.27,274.15,,,,22443.0,,,,,,,,,,,,,,
2020-01-01T08:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:23:22.177313+00:00,1577865600.0,US-CAL-CISO,408.04,326.24,406.75,,409.69,10944.0,,,8533.0,0.0,19477.0,eia.gov,69.01,14.06,76.6,2.61,2275.0,,,11.0,286.0,0.0,,8326.0,46.0,,3297.84,0.0,5.12,1358.12,1111.08,2.36,1619.66,11510.72,53.61,518.49,0.0,0.0,,,178.0,453.12,505.0,247.51,307.0,688.78,2613.0,537.52,52.0,476.39,1861.0,149.55,95.0,569.31,37.0,367.82,1149.0,617.23,1498.0,305.78,238.0,572.38,1.15,-1.94,,279.24,274.12,,,,21435.0,,,,,,,,,,,,,,
2020-01-01T09:00:00+00:00,2022-02-04T16:49:58.778849+00:00,2023-01-12T00:23:20.739679+00:00,1577869200.0,US-CAL-CISO,413.07,329.91,409.57,,417.95,11052.0,,,7925.0,0.0,18977.0,eia.gov,69.93,12.89,76.66,2.79,2272.0,,,9.0,308.0,0.0,,8372.0,91.0,,3259.42,0.0,0.0,1266.39,1028.4,2.34,1416.21,11388.12,97.7,518.41,0.0,0.0,,,99.0,453.12,427.0,262.0,312.0,691.49,2510.0,535.02,8.0,525.59,1614.0,147.15,103.0,566.67,34.0,401.84,1139.0,622.15,1465.0,305.4,214.0,594.13,1.15,-1.86,0.0,279.25,274.1,0.05,,,20588.0,,,,,,,,,,,,,,
